"ID","section","math_score","reading_score","writing_score"
"501","B",53,64,63
"502","B",87,87,92
"503","B",71,57,59
"504","B",77,80,72
"505","B",43,48,53
"506","B",88,91,86
"507","B",86,76,63
"508","B",45,56,55
"509","B",69,56,57
"510","B",65,70,72
"511","B",81,79,71
"512","B",90,88,86
"513","B",78,72,71
"514","B",71,79,89
"515","B",75,80,72
"516","B",70,60,56
"517","B",54,52,48
"518","B",49,36,32
"519","B",80,82,82
"520","B",78,89,93
"521","B",89,77,82
"522","B",65,83,82
"523","B",78,74,71
"524","B",69,85,78
"525","B",49,47,48
"526","B",50,64,66
"527","B",79,76,71
"528","B",89,92,97
"529","B",48,61,59
"530","B",63,67,71
"531","B",88,100,88
"532","B",66,73,73
"533","B",45,59,56
"534","B",62,78,73
"535","B",74,80,86
"536","B",82,87,90
"537","B",83,63,63
"538","B",60,72,76
"539","B",66,73,72
"540","B",76,66,68
"541","B",75,74,76
"542","B",77,72,79
"543","B",82,88,86
"544","B",63,59,60
"545","B",70,85,85
"546","B",84,71,76
"547","B",68,60,63
"548","B",56,58,50
"549","B",37,46,43
"550","B",49,56,53
"551","B",100,100,100
"552","B",83,68,65
"553","B",92,100,98
"554","B",71,62,66
"555","B",72,76,73
"556","B",37,53,48
"557","B",35,43,35
"558","B",69,68,62
"559","B",65,73,81
"560","B",56,48,36
"561","B",40,46,57
"562","B",60,62,60
"563","B",57,66,73
"564","B",58,62,66
"565","B",74,95,94
"566","B",77,77,83
"567","B",66,57,53
"568","B",62,79,87
"569","B",29,38,27
"570","B",70,73,66
"571","B",67,64,60
"572","B",81,91,94
"573","B",56,50,43
"574","B",61,79,76
"575","B",47,54,56
"576","B",88,87,94
"577","B",51,52,52
"578","B",68,60,62
"579","B",68,71,71
"580","B",47,49,50
"581","B",84,77,82
"582","B",69,72,68
"583","B",52,69,75
"584","B",80,79,79
"585","B",100,84,88
"586","B",53,59,64
"587","B",59,73,74
"588","B",78,96,89
"589","B",84,87,89
"590","B",52,72,71
"591","B",81,78,75
"592","B",90,95,100
"593","B",63,73,66
"594","B",100,97,100
"595","B",56,63,62
"596","B",46,54,54
"597","B",75,85,90
"598","B",46,51,54
"599","B",42,40,40
"600","B",77,86,90
"601","B",40,63,56
"602","B",69,71,76
"603","B",43,50,45
"604","B",69,75,71
"605","B",89,93,100
"606","B",44,34,36
"607","B",82,83,77
"608","B",72,72,65
"609","B",64,53,50
"610","B",89,73,70
"611","B",58,53,54
"612","B",63,81,78
"613","B",54,66,69
"614","B",83,78,82
"615","B",57,74,64
"616","B",52,47,48
"617","B",75,93,97
"618","B",67,66,64
"619","B",58,60,53
"620","B",63,66,68
"621","B",49,64,57
"622","B",38,47,52
"623","B",74,85,84
"624","B",69,84,82
"625","B",77,82,80
"626","B",40,59,59
"627","B",96,98,100
"628","B",85,86,85
"629","B",85,77,76
"630","B",72,59,54
"631","B",63,78,73
"632","B",58,67,58
"633","B",58,64,54
"634","B",51,57,53
"635","B",100,100,100
"636","B",77,84,92
"637","B",63,56,56
"638","B",64,67,68
"639","B",100,82,80
"640","B",66,65,65
"641","B",87,87,84
"642","B",73,72,69
"643","B",69,66,65
"644","B",62,64,63
"645","B",40,48,49
"646","B",55,68,60
"647","B",77,77,78
"648","B",63,70,71
"649","B",85,85,91
"650","B",30,43,40
"651","B",82,77,71
"652","B",81,71,70
"653","B",92,100,97
"654","B",50,48,36
"655","B",54,60,56
"656","B",76,83,78
"657","B",60,68,74
"658","B",45,72,66
"659","B",80,77,72
"660","B",52,45,48
"661","B",90,89,97
"662","B",53,65,69
"663","B",92,95,95
"664","B",63,78,75
"665","B",71,77,79
"666","B",64,70,73
"667","B",67,81,89
"668","B",63,63,61
"669","B",63,53,44
"670","B",59,49,46
"671","B",49,43,35
"672","B",75,84,86
"673","B",34,47,45
"674","B",53,70,69
"675","B",63,56,60
"676","B",75,69,65
"677","B",63,61,62
"678","B",70,72,75
"679","B",61,73,70
"680","B",74,61,59
"681","B",57,49,48
"682","B",41,52,47
"683","B",87,80,76
"684","B",69,71,62
"685","B",69,77,70
"686","B",58,56,56
"687","B",47,69,62
"688","B",78,69,71
"689","B",54,61,71
"690","B",36,27,26
"691","B",94,92,92
"692","B",68,84,80
"693","B",90,88,84
"694","B",57,57,53
"695","B",96,95,90
"696","B",68,63,62
"697","B",52,64,63
"698","B",90,76,73
"699","B",71,82,75
"700","B",58,69,74
"701","B",41,39,34
"702","B",43,37,43
"703","B",85,70,71
"704","B",71,72,69
"705","B",72,70,72
"706","B",70,62,66
"707","B",89,100,100
"708","B",92,86,82
"709","B",80,79,81
"710","B",80,70,60
"711","B",56,64,59
"712","B",93,86,73
"713","B",49,37,41
"714","B",59,57,58
"715","B",64,74,75
"716","B",73,66,59
"717","B",82,86,90
"718","B",48,43,41
"719","B",51,64,62
"720","B",38,46,43
"721","B",45,50,42
"722","B",83,92,95
"723","B",45,57,56
"724","B",66,64,62
"725","B",60,62,57
"726","B",49,47,49
"727","B",80,84,86
"728","B",75,68,66
"729","B",57,68,61
"730","B",25,36,37
"731","B",90,87,81
"732","B",63,70,71
"733","B",100,91,86
"734","B",76,68,66
"735","B",52,58,53
"736","B",81,86,93
"737","B",90,89,87
"738","B",83,82,81
"739","B",61,73,69
"740","B",79,69,75
"741","B",52,53,51
"742","B",62,65,67
"743","B",85,90,84
"744","B",74,96,95
"745","B",83,85,78
"746","B",78,72,72
"747","B",41,43,40
"748","B",77,91,87
"749","B",95,99,91
"750","B",50,68,66
"751","B",74,76,70
"752","B",74,93,93
"753","B",70,62,61
"754","B",61,59,54
"755","B",94,100,100
"756","B",66,84,77
"757","B",83,88,93
"758","B",75,63,60
"759","B",56,65,63
"760","B",66,88,83
"761","B",61,69,66
"762","B",70,79,73
"763","B",57,59,53
"764","B",78,89,90
"765","B",62,76,67
"766","B",64,53,49
"767","B",55,66,65
"768","B",72,83,83
"769","B",49,48,42
"770","B",62,60,63
"771","B",76,73,68
"772","B",73,86,85
"773","B",72,76,78
"774","B",85,85,76
"775","B",71,68,65
"776","B",28,38,31
"777","B",41,42,38
"778","B",78,72,68
"779","B",48,52,44
"780","B",38,51,47
"781","B",91,100,100
"782","B",71,81,80
"783","B",84,87,92
"784","B",63,60,63
"785","B",70,78,87
"786","B",48,52,57
"787","B",68,72,73
"788","B",84,84,87
"789","B",61,62,60
"790","B",62,59,62
"791","B",66,78,83
"792","B",52,65,71
"793","B",68,75,73
"794","B",62,68,71
"795","B",90,88,84
"796","B",42,50,44
"797","B",74,90,89
"798","B",62,61,61
"799","B",56,55,50
"800","B",64,52,54
"801","B",79,84,80
"802","B",44,65,63
"803","B",69,94,87
"804","B",53,48,48
"805","B",74,69,61
"806","B",49,55,48
"807","B",57,71,71
"808","B",61,72,64
"809","B",65,88,84
"810","B",51,60,52
"811","B",49,51,41
"812","B",56,65,56
"813","B",65,62,63
"814","B",70,64,62
"815","B",91,95,88
"816","B",48,56,64
"817","B",94,99,100
"818","B",77,76,73
"819","B",59,78,75
"820","B",57,75,70
"821","B",76,82,74
"822","B",65,63,64
"823","B",75,75,83
"824","B",70,66,65
"825","B",79,79,70
"826","B",100,100,100
"827","B",83,96,99
"828","B",70,84,78
"829","B",97,80,88
"830","B",33,32,35
"831","B",38,40,41
"832","B",46,51,47
"833","B",13,36,37
"834","B",85,83,78
"835","B",79,79,80
"836","B",76,81,79
"837","B",53,70,65
"838","B",68,70,63
"839","B",67,70,70
"840","B",100,84,88
"841","B",54,48,45
"842","B",72,73,70
"843","B",91,97,95
"844","B",87,81,86
"845","B",66,75,74
"846","B",65,66,64
"847","B",41,56,53
"848","B",67,69,65
